"","Intercept","Pval","Days","Pval","Coefficient","Pval"
"C1_School_closing",15.4277428971717,9.04807340162961e-11,0.130332193438792,2.22044604925031e-15,6.26469516105564,0
"C2_Workplace_closing",-11.8107004563512,0,0.00845287312554662,0.00286715152744177,-0.0492556944237585,0.572927777921852
"C3_Cancel_public_events",-12.2229300937772,0,0.012330818679406,0.000382589716791726,-0.20349702424153,0.387038685598785
"C4_Restrictions_on_gatherings",NA,NA,NA,NA,NA,NA
"C5_Close_public_transport",-10.0672623920165,0,-0.0376617997289404,0.184609970022187,1.0187885622954,0.0048428348310513
"C6_Stay_at_home_requirements",-12.1973184491971,0,0.0114840161724098,0.000137550085858806,-0.157175396196972,0.0428694294821301
"C7_Restrictions_on_internal_movement",NA,NA,NA,NA,NA,NA
"C8_International_travel_controls",-12.3916965845353,0,0.00958298563278174,0.00343141816128234,0.410579999956609,4.36724359453855e-06
"E1_Income_support",91.8640198905904,0,-0.408694011424407,0,-40.6339549399774,0.992664853873196
"E2_Debt_contract_relief",-15.3795539458498,0,0.0469144218997402,5.67861709334094e-05,-1.26325038169466,2.51348698492304e-05
"E3_Fiscal_measures",-12.2284106524001,0,0.0109549915848756,0.000166648206234354,0.00188806806816965,0.545344910829244
"E4_International_support",-236.510723106694,0,1.26715457786962,0,65.887204047349,0
"H1_Public_information_campaigns",-12.2465468421456,0,0.0106901306637989,0.000332795022800925,0.0521326609621689,0.0114637614967847
"H2_Testing_policy",1.04457362459207,0.0132594882931475,-0.0741813911560819,0,0.727467136864279,5.77056502470974e-07
"H3_Contact_tracing",-21.3114964063051,0,0.572144545127893,0,0.0064220990077164,0.998132511266587
"H4_Emergency_investment_in_healthcare",-12.277866257512,0,0.0113561359669356,0.00024607204688154,0.00786368054580128,0.113117049781965
"H5_Investment_in_vaccines",-18.8535550147305,0,0.627272049273043,0,0.821979306396752,3.18554366662838e-07
