"","Intercept","Pval","Days","Pval","Coefficient","Pval"
"C1_School_closing",-13.0797344259475,0,0.00656315869585708,0.0993122330083135,1.56626891829217,0.00670057133574686
"C2_Workplace_closing",-12.6689188406696,0,0.005162141017925,0.223129741113102,1.45978730728562,0.000353336745504862
"C3_Cancel_public_events",-13.5759284178402,0,0.00419716274547742,0.438907466278638,2.60940896277926,0.0790688082411796
"C4_Restrictions_on_gatherings",-12.824738896988,0,0.00318108405509592,0.458709696343401,1.77659290222634,0.00526037251474354
"C5_Close_public_transport",-12.0468963938871,0,0.0065928851151742,0.116752733884893,0.511880785294152,0.35964730415559
"C6_Stay_at_home_requirements",-12.1781348707322,0,0.00538793653383702,0.201864024037922,0.856402324602481,0.166627934258026
"C7_Restrictions_on_internal_movement",-13.0670454430284,0,0.00418949768689292,0.404323344914369,2.24996639262517,0.000602660516846321
"C8_International_travel_controls",-14.0093969148784,0,0.000228923712782251,0.971335831656044,3.50928497833938,0.00193101339176671
"E1_Income_support",-12.3381595109397,0,-0.00114131790409729,0.838941370646181,2.92893934099536,0.00521153257471585
"E2_Debt_contract_relief",-12.2043864180572,0,0.00208430165122897,0.723684733392128,1.79672951134426,0.0204857345988054
"E3_Fiscal_measures",-11.9282513217713,0,0.00765768330490487,0.057504765406905,-0.0085385678234714,0.722510844695984
"E4_International_support",-11.9306911776576,0,0.00766541767787997,0.0568181493778384,-0.0085248125126682,0.892845554201407
"H1_Public_information_campaigns",-15.2928903199028,0,0.00464704232335099,0.28691205350881,3.73883905368049,0.0114748648267443
"H2_Testing_policy",-12.125065702946,0,0.00441854090115393,0.418319860136591,0.703189755374303,0.669598868787538
"H3_Contact_tracing",-11.0107290057015,0,0.0149651978876012,4.38991850524317e-05,-2.49597097214687,0.00211260439760408
"H4_Emergency_investment_in_healthcare",-11.9272818655984,0,0.00764402021776577,0.0588420680805226,-0.012228559721956,0.577579686372497
"H5_Investment_in_vaccines",-11.9344138820049,0,0.00767298487010437,0.0569713843297861,0.0523246296657646,0.378856720777447
