"","Intercept","Pval","Coefficient","Pval"
"C1_School_closing",-11.356385052452,0,1.36961559451243,5.36870548017987e-12
"C2_Workplace_closing",-10.7543113024006,0,0.998647097241557,8.31855695437866e-11
"C3_Cancel_public_events",-11.3611685256,0,1.54950684826268,2.01547525201518e-05
"C4_Restrictions_on_gatherings",-12.9334797954239,6.10622663543836e-15,2.89324845780268,0.00955229084697906
"C5_Close_public_transport",-11.1498222354481,0,1.12466908950307,2.98232800344245e-07
"C6_Stay_at_home_requirements",247.854089897861,0,-203.429220290476,0.999999995545928
"C7_Restrictions_on_internal_movement",-11.16273231655,0,1.32339317803349,2.6775837103088e-10
"C8_International_travel_controls",NA,NA,NA,NA
"E1_Income_support",-11.7544955021655,0,2.34066146329928,0.000595396848688479
"E2_Debt_contract_relief",-11.0062978941514,0,1.23273061049304,9.78258787309727e-08
"E3_Fiscal_measures",-11.1512568885007,0,-0.0404203094992195,0.397182460507734
"E4_International_support",-11.1611887010474,0,-0.00447959059288047,0.600011680790142
"H1_Public_information_campaigns",-11.6073199984001,0,1.68464791208508,0.000175341571073018
"H2_Testing_policy",-11.4188193157889,0,1.43130057958231,0.000127794901037426
"H3_Contact_tracing",-11.3040946227619,0,0.239775950521209,0.727140551162261
"H4_Emergency_investment_in_healthcare",-11.1795537832142,0,-0.109685625162924,0.291481633162989
"H5_Investment_in_vaccines",-11.1598310552597,0,-0.0582659764895274,0.109587708745224
