"","Intercept","Pval","Coefficient","Pval"
"C1_School_closing",-12.5049887131511,0,1.58964748601754,0.000151403549931262
"C2_Workplace_closing",-12.3269182707911,0,1.64438897191102,5.18839716789898e-06
"C3_Cancel_public_events",-13.2885737447879,0,2.73509063258048,0.0348484487902211
"C4_Restrictions_on_gatherings",-12.6898665340693,0,1.98344824994928,0.00100116534431283
"C5_Close_public_transport",-11.5676450725718,0,0.760658729168201,0.139136618946311
"C6_Stay_at_home_requirements",-11.8976920360708,0,1.23224418263643,0.0277855532042325
"C7_Restrictions_on_internal_movement",-12.7719010692689,0,2.37898088148669,2.92135203225907e-05
"C8_International_travel_controls",-13.9908573844985,0,3.51332464866429,0.00112253634844517
"E1_Income_support",-12.4222089947844,0,2.87961602095569,0.00104586004403939
"E2_Debt_contract_relief",-12.0472472265039,0,1.86741956761481,0.00141074676715913
"E3_Fiscal_measures",-11.2519572829047,0,-0.0107943824340471,0.69130551891402
"E4_International_support",-11.2553822610211,0,0.00108287788856349,0.985077151048049
"H1_Public_information_campaigns",-15.470902747916,0,4.35031073050164,0.00465324620325813
"H2_Testing_policy",-12.0892466976783,0,1.22225384797332,0.269138792886332
"H3_Contact_tracing",-10.1181316685237,0,-1.78709623270232,0.0246331079135341
"H4_Emergency_investment_in_healthcare",-11.2502539979138,0,-0.0258505939628955,0.262407003022849
"H5_Investment_in_vaccines",-11.2571507878897,0,0.0458845585545387,0.443319515590293
