"","Intercept","Pval","Days","Pval","Coefficient","Pval"
"C1_School_closing",-71637195.8059258,0.99999999996397,-75073978.4761696,0.999999998773113,-106422300010154,0.999905181087259
"C2_Workplace_closing",-11.4479522067772,0,0.00608607796313262,1.77993991239411e-05,0.396793160427156,0.000727786269819175
"C3_Cancel_public_events",-10.8139483094817,0,0.00445353030894902,7.21057201236164e-06,0.351875144636608,0.00176518521985558
"C4_Restrictions_on_gatherings",-3.13894019464304,0.999999766158149,-0.101060838932594,0.999999984023154,-39.6807410674076,0.999999999885157
"C5_Close_public_transport",NA,NA,NA,NA,NA,NA
"C6_Stay_at_home_requirements",-10.4126194866595,0,0.00393277111161911,0.057446228818385,0.421589267219727,0.0286021139273943
"C7_Restrictions_on_internal_movement",-4.70472019958739,0,-0.0115302050905526,9.40880706679081e-12,-0.908013927594463,1.21636059047248e-06
"C8_International_travel_controls",-12.8627223401067,0,0.00492150867329341,0.103156035027207,0.910533029808278,0.0244198769664919
"E1_Income_support",-10.8340452584603,0,0.00285966008565778,0.0980401073633546,0.668916631878073,0.00434082600307106
"E2_Debt_contract_relief",-10.8767596294093,0,0.00381825999261654,0.0450872757209676,0.710498686254827,0.00182793331171971
"E3_Fiscal_measures",NA,NA,NA,NA,NA,NA
"E4_International_support",-10.3586278241328,0,0.00549692135654876,9.6345487688998e-06,0.00074876012542398,0.888850200640821
"H1_Public_information_campaigns",-11.5664836432548,0,0.0050432398416844,0.00190744829084999,0.346989255298296,0.271152756511477
"H2_Testing_policy",-10.6336809043097,0,0.00258577326537662,0.0450051302338734,0.668799673035097,0.0717539068507063
"H3_Contact_tracing",-12.895665337453,0.00017432550098706,0.0249244890575186,0.331858046748986,-2.66408029227963,0.407490541055844
"H4_Emergency_investment_in_healthcare",-33.2327265440358,0.999999524381097,0.0437153115412722,0.999999889073434,-0.299131971838813,0.999999992024472
"H5_Investment_in_vaccines",9.91056719115847,0,-0.0320773228984376,2.47307481160419e-08,0.156897731225749,0.00590967988561952
