"","Intercept","Pval","Coefficient","Pval"
"C1_School_closing",-11.1897043317496,0,0.00694844764388428,0.447832736743599
"C2_Workplace_closing",-11.2653073379728,0,0.104407688523416,0.0024981671323937
"C3_Cancel_public_events",-11.2880093883506,0,0.102488610537376,0.0539006908553064
"C4_Restrictions_on_gatherings",-11.173980357072,0,0.00179622769350152,0.954511390938586
"C5_Close_public_transport",-11.2013796075124,0,0.0336619281619799,0.153116117221912
"C6_Stay_at_home_requirements",-11.1999492247354,0,0.0275147037504736,0.290031414483453
"C7_Restrictions_on_internal_movement",51.031123739215,0,-1.64042560256,0.000771456806895832
"C8_International_travel_controls",-11.3717261764969,0,0.134643729264529,0.00127892831168575
"E1_Income_support",-11.3152865834905,0,0.227035486851282,0.000440378832209265
"E2_Debt_contract_relief",-11.2923705262548,0,0.275258496727096,0.000897559528827085
"E3_Fiscal_measures",-11.1827402185013,0,0.00181410456007675,0.539446730353944
"E4_International_support",-11.1837716785718,0,0.0186121173342137,0.00105789506677167
"H1_Public_information_campaigns",47.6919872630062,0,-13.7165421791781,0.501264783329757
"H2_Testing_policy",-11.2492732046859,0,0.0981591601452774,0.364941578118548
"H3_Contact_tracing",-11.1411650733321,0,-0.0605016711687644,0.524187853510635
"H4_Emergency_investment_in_healthcare",-11.1834765037369,0,0.00696130093594572,0.0778309978002737
"H5_Investment_in_vaccines",-11.1822486251402,0,-0.00457321197257486,0.561753947681861
