"","Intercept","Pval","Coefficient","Pval"
"C1_School_closing",-11.1113453150112,0,0.480418673098655,0
"C2_Workplace_closing",-10.9808880027887,0,0.515693033602342,3.83886367139041e-10
"C3_Cancel_public_events",-10.9918504019987,0,0.578555039164725,1.11123837691629e-05
"C4_Restrictions_on_gatherings",NA,NA,NA,NA
"C5_Close_public_transport",-11.0296457174208,0,0.549244112778641,0.000135088559039653
"C6_Stay_at_home_requirements",-10.8235725785924,0,0.726787673173881,6.17830938631769e-08
"C7_Restrictions_on_internal_movement",-10.7976843922396,0,0.530319323599622,1.3937535531916e-05
"C8_International_travel_controls",-12.5952185813612,6.10622663543836e-15,1.03452443388399,0.0117425747896381
"E1_Income_support",-10.6174330557794,0,0.797848106424333,0.000167103056489259
"E2_Debt_contract_relief",-11.0062978941514,0,1.23273061049304,9.78258787309727e-08
"E3_Fiscal_measures",-11.1512568885007,0,-0.0404203094992195,0.397182460507734
"E4_International_support",-11.1611887010474,0,-0.00447959059288047,0.600011680790142
"H1_Public_information_campaigns",-11.6491379930409,0,0.650515666209572,0.00910806978785161
"H2_Testing_policy",-11.4188193157889,0,1.43130057958231,0.000127794901037426
"H3_Contact_tracing",-11.3040946227619,0,0.239775950521209,0.727140551162261
"H4_Emergency_investment_in_healthcare",-11.1795537832142,0,-0.109685625162924,0.291481633162989
"H5_Investment_in_vaccines",-11.1598310552597,0,-0.0582659764895274,0.109587708745224
