"","Intercept","Pval","Coefficient","Pval"
"C1_School_closing",-11.6145598878119,0,0.290055292481174,0.163810148214804
"C2_Workplace_closing",-11.8221362555622,0,0.593003576151697,0.000747289029316422
"C3_Cancel_public_events",-12.3161042020324,0,0.890596618837198,0.0741052386490827
"C4_Restrictions_on_gatherings",-12.0262768618656,0,0.760682591119033,0.0136188698475157
"C5_Close_public_transport",-11.4790831558157,0,0.36587544374326,0.14956247989197
"C6_Stay_at_home_requirements",-11.8106333932398,0,0.767529461419704,0.00182018749217372
"C7_Restrictions_on_internal_movement",-12.0815606549004,0,0.858841453632649,0.00628612530036554
"C8_International_travel_controls",-12.7677335165406,0,1.04773899007369,0.000633605610356303
"E1_Income_support",-12.0412974418856,0,1.32732112985377,0.000788023748099831
"E2_Debt_contract_relief",-12.0472472265039,0,1.86741956761481,0.00141074676715913
"E3_Fiscal_measures",-11.2519572829047,0,-0.0107943824340471,0.69130551891402
"E4_International_support",-11.2553822610211,0,0.00108287788856349,0.985077151048049
"H1_Public_information_campaigns",-12.1593094222527,0,0.4970487263807,0.0642691720663711
"H2_Testing_policy",-12.0892466976783,0,1.22225384797332,0.269138792886332
"H3_Contact_tracing",-10.1181316685237,0,-1.78709623270232,0.0246331079135341
"H4_Emergency_investment_in_healthcare",-11.2502539979138,0,-0.0258505939628955,0.262407003022849
"H5_Investment_in_vaccines",-11.2571507878897,0,0.0458845585545387,0.443319515590293
