"","Intercept","Pval","Days","Pval","logDays","Pval","Coefficient","Pval"
"C1_School_closing",-29.2049970361552,1.3605228055269e-11,-0.0579092952112159,2.52213664879708e-05,5.33059984386322,3.83384149673649e-05,-0.161775689561051,0.607039728883182
"C2_Workplace_closing",-29.1683281458644,1.97579641536549e-09,-0.0529377635084117,0.0008314531163226,5.08397435768596,0.000225597909870867,0.371051630882355,0.338012345879751
"C3_Cancel_public_events",-28.0151073504361,1.80624437629007e-09,-0.0475736799880872,0.00111902160392419,4.621477902652,0.00101843446223426,0.62301570866135,0.317290333821782
"C4_Restrictions_on_gatherings",-28.0933837782071,3.56648488519795e-10,-0.0507689430537374,0.000163536956987009,4.8077067079551,0.000163020937864133,0.307096312169183,0.348815236333767
"C5_Close_public_transport",-29.7252571648928,1.08175098878505e-08,-0.0562760622518204,0.000436588252013981,5.33159488850904,0.000216763724915525,0.223976020611413,0.391096382257694
"C6_Stay_at_home_requirements",-29.0789748488082,4.85967488472738e-10,-0.0540775830083794,0.000440595355886808,5.12594145653062,0.000161057383208596,0.269368421730583,0.428618032802064
"C7_Restrictions_on_internal_movement",-29.0391106253061,3.30312949214928e-08,-0.0498239466970914,0.00161926343568086,4.92447558788794,0.000740323405263199,0.644138605022053,0.0732249516776426
"C8_International_travel_controls",-25.7170569782574,1.62099222933421e-11,-0.0458083237426818,0.00101369307539845,3.95654576768711,0.000465279104327365,0.84826284378148,0.0130047261660887
"E1_Income_support",-25.5248212352864,6.63300525616251e-11,-0.047158090337323,0.000345366506964484,4.07922883722146,0.000296325635094408,1.06087220648648,0.0200782297086768
"E2_Debt_contract_relief",-26.0046677664315,1.19927889841165e-09,-0.0478581737991482,0.000351732704372609,4.21248870232619,0.000569886353168458,1.4002067331713,0.0578242255526134
"E3_Fiscal_measures",-28.9794855028269,3.37243566406187e-11,-0.0551527095159022,8.29919895852793e-05,5.17505241218324,2.71094808864669e-05,-0.0169232842994565,0.425868477984013
"E4_International_support",-29.024799167931,3.82280873623131e-11,-0.0552473096009477,8.9736782494354e-05,5.18691920986784,2.83973787705838e-05,-0.0372906648198214,0.565764202837828
"H1_Public_information_campaigns",-29.779642145934,1.76497816362087e-09,-0.0598946638944166,0.000806185949636107,5.64628476997436,0.000247542490504071,-0.458243172473012,0.307067320261132
"H2_Testing_policy",-28.8439633584508,6.31504071257893e-10,-0.0555750846484787,9.24864844753515e-06,5.11298687187712,0.000242735607112299,0.246530841399489,0.855773542957583
"H3_Contact_tracing",-25.0930473418292,4.44089209850063e-16,-0.0396706112273146,6.56979885385045e-05,4.30184399673227,5.35422711056555e-07,-2.24547948686362,0.00231538589574098
"H4_Emergency_investment_in_healthcare",-28.9491080498008,2.41908715281625e-11,-0.0551485690914965,7.70333702051484e-05,5.16848070431012,2.37138959594541e-05,-0.0323221708912593,0.17277588270333
"H5_Investment_in_vaccines",-28.9955774053596,3.88760135194843e-11,-0.0551265063002315,8.56185016241406e-05,5.17656671478912,2.863963857902e-05,0.0312330780938755,0.575591688536108
