"","CountryCode","C1_School_closing","C2_Workplace_closing","C3_Cancel_public_events","C4_Restrictions_on_gatherings","C5_Close_public_transport","C6_Stay_at_home_requirements","C7_Restrictions_on_internal_movement","C8_International_travel_controls","E1_Income_support","E2_Debt_contract_relief","H1_Public_information_campaigns","H2_Testing_policy","H3_Contact_tracing","StringencyIndex","Days","Government","Domestic_ConfirmedCases","Domestic_DailyConfirmed","Capital_ConfirmedCases","Capital_DailyConfirmed","NonCapital_ConfirmedCases","NonCapital_DailyConfirmed"
"1","KOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.3333333333333,1,1,1,1,0,0
"2","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,2,33.3333333333333,1,0,1,0,0,0
"3","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,3,33.3333333333333,1,0,1,0,0,0
"4","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,4,33.3333333333333,1,0,1,0,0,0
"5","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,5,33.3333333333333,2,1,2,1,0,0
"6","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,6,33.3333333333333,2,0,2,0,0,0
"7","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,7,33.3333333333333,3,1,3,1,0,0
"8","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,8,33.3333333333333,4,1,4,1,0,0
"9","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,9,33.3333333333333,4,0,4,0,0,0
"10","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,50,0,10,33.3333333333333,4,0,4,0,0,0
"11","KOR",0,0,0,0,0,0,0,0,0,0,0,33.33333333,50,0,11,33.3333333333333,7,3,7,3,0,0
"12","KOR",0,0,33.33333333,0,0,0,0,0,0,0,0,33.33333333,50,2.78,12,33.3333333333333,11,4,10,3,1,1
"13","KOR",0,0,33.33333333,0,0,0,0,0,0,0,100,33.33333333,50,13.89,13,33.3333333333333,12,1,11,1,1,0
"14","KOR",0,0,33.33333333,0,0,0,0,0,0,0,100,33.33333333,50,13.89,14,33.3333333333333,15,3,14,3,1,0
"15","KOR",50,0,33.33333333,0,0,0,0,0,0,0,100,33.33333333,50,19.44,15,33.3333333333333,15,0,14,0,1,0
"16","KOR",50,0,33.33333333,0,0,0,0,60,0,0,100,33.33333333,50,27.78,16,33.3333333333333,16,1,14,0,2,1
"17","KOR",50,0,33.33333333,0,0,0,0,60,0,0,100,33.33333333,50,27.78,17,33.3333333333333,18,2,16,2,2,0
"18","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,33.33333333,50,31.48,18,33.3333333333333,23,5,21,5,2,0
"19","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,50,31.48,19,33.3333333333333,24,1,22,1,2,0
"20","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,50,31.48,20,33.3333333333333,24,0,22,0,2,0
"21","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,50,31.48,21,33.3333333333333,27,3,25,3,2,0
"22","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,50,31.48,22,33.3333333333333,27,0,25,0,2,0
"23","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,23,33.3333333333333,29,2,27,2,2,0
"24","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,24,33.3333333333333,29,0,27,0,2,0
"25","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,25,33.3333333333333,29,0,27,0,2,0
"26","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,26,33.3333333333333,29,0,27,0,2,0
"27","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,27,33.3333333333333,29,0,27,0,2,0
"28","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,28,33.3333333333333,29,0,27,0,2,0
"29","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,29,33.3333333333333,29,0,27,0,2,0
"30","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,30,83.3333333333333,30,1,27,0,3,1
"31","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,31,83.3333333333333,52,22,34,7,18,15
"32","KOR",75,0,33.33333333,0,0,0,0,60,0,0,100,100,100,31.48,32,83.3333333333333,104,52,36,2,68,50
"33","KOR",75,0,100,60,0,0,0,60,0,0,100,100,100,45.37,33,83.3333333333333,203,99,43,7,160,92
"34","KOR",75,0,100,60,0,0,0,60,0,0,100,100,100,45.37,34,83.3333333333333,432,229,52,9,380,220
"35","KOR",75,0,100,60,0,25,33.33333333,60,0,0,100,100,100,50,35,83.3333333333333,600,168,57,5,543,163
"36","KOR",100,50,100,60,0,25,33.33333333,60,0,0,100,100,100,55.56,36,83.3333333333333,831,231,72,15,759,216
"37","KOR",100,50,100,60,0,25,33.33333333,60,0,0,100,100,100,55.56,37,83.3333333333333,975,144,85,13,890,131
"38","KOR",100,50,100,60,0,25,33.33333333,60,0,0,100,100,100,55.56,38,83.3333333333333,1259,284,103,18,1156,266
"39","KOR",100,50,100,60,0,25,33.33333333,60,0,0,100,100,100,55.56,39,83.3333333333333,1764,505,121,18,1643,487
"40","KOR",100,50,100,60,0,25,33.33333333,60,0,0,100,100,100,55.56,40,83.3333333333333,2335,571,138,17,2197,554
"41","KOR",100,50,100,60,0,25,33.33333333,60,0,0,100,100,100,55.56,41,83.3333333333333,3148,813,165,27,2983,786
